<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,5,20220715,110500,60251.0000000,60251.0000000,60053.0000000,60088.0000000,40970
SPFB.Si,5,20220715,111000,60087.0000000,60160.0000000,60030.0000000,60118.0000000,28458
SPFB.Si,5,20220715,111500,60120.0000000,60177.0000000,60011.0000000,60019.0000000,17639
SPFB.Si,5,20220715,112000,60019.0000000,60046.0000000,59910.0000000,59927.0000000,43026
SPFB.Si,5,20220715,112500,59924.0000000,59928.0000000,59840.0000000,59928.0000000,25152
SPFB.Si,5,20220715,113000,59928.0000000,59988.0000000,59832.0000000,59955.0000000,32402
SPFB.Si,5,20220715,113500,59955.0000000,60149.0000000,59850.0000000,59858.0000000,44544
SPFB.Si,5,20220715,114000,59858.0000000,59982.0000000,59750.0000000,59924.0000000,38463
SPFB.Si,5,20220715,114500,59924.0000000,60068.0000000,59895.0000000,60051.0000000,18328
SPFB.Si,5,20220715,115000,60047.0000000,60047.0000000,59839.0000000,59851.0000000,21904
SPFB.Si,5,20220715,115500,59851.0000000,59992.0000000,59822.0000000,59950.0000000,13739
SPFB.Si,5,20220715,120000,59950.0000000,60016.0000000,59884.0000000,60016.0000000,15310
SPFB.Si,5,20220715,120500,60016.0000000,60125.0000000,59902.0000000,60124.0000000,25176
SPFB.Si,5,20220715,121000,60124.0000000,60132.0000000,60011.0000000,60034.0000000,12421
SPFB.Si,5,20220715,121500,60031.0000000,60069.0000000,59856.0000000,59869.0000000,22818
SPFB.Si,5,20220715,122000,59866.0000000,59880.0000000,59652.0000000,59676.0000000,40543
SPFB.Si,5,20220715,122500,59681.0000000,59776.0000000,59616.0000000,59753.0000000,30808
SPFB.Si,5,20220715,123000,59750.0000000,59756.0000000,59585.0000000,59670.0000000,26811
SPFB.Si,5,20220715,123500,59670.0000000,59747.0000000,59522.0000000,59692.0000000,38626
SPFB.Si,5,20220715,124000,59691.0000000,59834.0000000,59657.0000000,59722.0000000,28427
SPFB.Si,5,20220715,124500,59726.0000000,59728.0000000,59526.0000000,59559.0000000,22419
SPFB.Si,5,20220715,125000,59556.0000000,59557.0000000,59426.0000000,59500.0000000,33814
SPFB.Si,5,20220715,125500,59497.0000000,59563.0000000,59380.0000000,59406.0000000,27150
SPFB.Si,5,20220715,130000,59405.0000000,59440.0000000,59350.0000000,59431.0000000,30279
SPFB.Si,5,20220715,130500,59428.0000000,59428.0000000,59281.0000000,59337.0000000,33082
SPFB.Si,5,20220715,131000,59333.0000000,59452.0000000,59277.0000000,59344.0000000,24532
SPFB.Si,5,20220715,131500,59344.0000000,59355.0000000,59140.0000000,59290.0000000,31633
SPFB.Si,5,20220715,132000,59291.0000000,59356.0000000,59151.0000000,59158.0000000,24551
SPFB.Si,5,20220715,132500,59158.0000000,59214.0000000,59066.0000000,59113.0000000,26186
SPFB.Si,5,20220715,133000,59113.0000000,59229.0000000,59015.0000000,59150.0000000,22692
SPFB.Si,5,20220715,133500,59149.0000000,59255.0000000,59085.0000000,59167.0000000,20708
