<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,5,20221118,111500,60796.0000000,60842.0000000,60787.0000000,60809.0000000,6093
SPFB.Si,5,20221118,112000,60810.0000000,60816.0000000,60756.0000000,60761.0000000,6181
SPFB.Si,5,20221118,112500,60762.0000000,60795.0000000,60750.0000000,60787.0000000,3736
SPFB.Si,5,20221118,113000,60786.0000000,60789.0000000,60772.0000000,60780.0000000,1010
SPFB.Si,5,20221118,113500,60776.0000000,60828.0000000,60772.0000000,60810.0000000,4793
SPFB.Si,5,20221118,114000,60810.0000000,60835.0000000,60799.0000000,60830.0000000,5072
SPFB.Si,5,20221118,114500,60825.0000000,60835.0000000,60802.0000000,60808.0000000,3156
SPFB.Si,5,20221118,115000,60808.0000000,60838.0000000,60784.0000000,60805.0000000,3768
SPFB.Si,5,20221118,115500,60806.0000000,60819.0000000,60786.0000000,60817.0000000,1697
SPFB.Si,5,20221118,120000,60818.0000000,60825.0000000,60788.0000000,60816.0000000,3369
SPFB.Si,5,20221118,120500,60815.0000000,60834.0000000,60799.0000000,60815.0000000,4597
SPFB.Si,5,20221118,121000,60817.0000000,60819.0000000,60770.0000000,60797.0000000,3656
SPFB.Si,5,20221118,121500,60792.0000000,60864.0000000,60778.0000000,60852.0000000,8109
SPFB.Si,5,20221118,122000,60850.0000000,60890.0000000,60843.0000000,60860.0000000,10935
SPFB.Si,5,20221118,122500,60854.0000000,60864.0000000,60824.0000000,60837.0000000,2249
SPFB.Si,5,20221118,123000,60834.0000000,60862.0000000,60822.0000000,60826.0000000,3380
SPFB.Si,5,20221118,123500,60826.0000000,60843.0000000,60810.0000000,60824.0000000,4562
SPFB.Si,5,20221118,124000,60824.0000000,60829.0000000,60759.0000000,60785.0000000,11583
SPFB.Si,5,20221118,124500,60785.0000000,60842.0000000,60772.0000000,60839.0000000,7245
SPFB.Si,5,20221118,125000,60840.0000000,60867.0000000,60820.0000000,60827.0000000,20130
SPFB.Si,5,20221118,125500,60827.0000000,60851.0000000,60817.0000000,60845.0000000,4039
SPFB.Si,5,20221118,130000,60845.0000000,60847.0000000,60817.0000000,60825.0000000,13877
SPFB.Si,5,20221118,130500,60823.0000000,60850.0000000,60820.0000000,60832.0000000,4218
SPFB.Si,5,20221118,131000,60833.0000000,60855.0000000,60830.0000000,60850.0000000,3391
SPFB.Si,5,20221118,131500,60850.0000000,60870.0000000,60820.0000000,60836.0000000,5242
SPFB.Si,5,20221118,132000,60838.0000000,60859.0000000,60825.0000000,60827.0000000,4023
SPFB.Si,5,20221118,132500,60828.0000000,60831.0000000,60817.0000000,60823.0000000,3546
