<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,5,20221228,224000,72198.0000000,72199.0000000,72127.0000000,72169.0000000,969
SPFB.Si,5,20221228,224500,72168.0000000,72169.0000000,72116.0000000,72127.0000000,889
SPFB.Si,5,20221228,225000,72130.0000000,72236.0000000,72130.0000000,72222.0000000,918
SPFB.Si,5,20221228,225500,72226.0000000,72260.0000000,72212.0000000,72240.0000000,695
SPFB.Si,5,20221228,230000,72237.0000000,72252.0000000,72225.0000000,72250.0000000,252
SPFB.Si,5,20221228,230500,72243.0000000,72300.0000000,72241.0000000,72293.0000000,2303
SPFB.Si,5,20221228,231000,72289.0000000,72294.0000000,72270.0000000,72287.0000000,355
SPFB.Si,5,20221228,231500,72287.0000000,72299.0000000,72277.0000000,72296.0000000,628
SPFB.Si,5,20221228,232000,72296.0000000,72300.0000000,72280.0000000,72294.0000000,588
SPFB.Si,5,20221228,232500,72293.0000000,72297.0000000,72285.0000000,72296.0000000,348
SPFB.Si,5,20221228,233000,72294.0000000,72348.0000000,72292.0000000,72319.0000000,2740
SPFB.Si,5,20221228,233500,72332.0000000,72336.0000000,72236.0000000,72251.0000000,1230
SPFB.Si,5,20221228,234000,72250.0000000,72263.0000000,72232.0000000,72263.0000000,551
SPFB.Si,5,20221228,234500,72265.0000000,72300.0000000,72248.0000000,72267.0000000,621
SPFB.Si,5,20221228,235000,72267.0000000,72300.0000000,72250.0000000,72251.0000000,1159
SPFB.Si,5,20221229,090500,72250.0000000,72398.0000000,72012.0000000,72352.0000000,15389
SPFB.Si,5,20221229,091000,72354.0000000,72354.0000000,72223.0000000,72321.0000000,5463
SPFB.Si,5,20221229,091500,72313.0000000,72343.0000000,72253.0000000,72288.0000000,2786
SPFB.Si,5,20221229,092000,72288.0000000,72318.0000000,72230.0000000,72233.0000000,2741
SPFB.Si,5,20221229,092500,72232.0000000,72446.0000000,72190.0000000,72408.0000000,7266
SPFB.Si,5,20221229,093000,72411.0000000,72600.0000000,72393.0000000,72576.0000000,15110
SPFB.Si,5,20221229,093500,72576.0000000,72673.0000000,72400.0000000,72482.0000000,15276
SPFB.Si,5,20221229,094000,72484.0000000,72590.0000000,72403.0000000,72530.0000000,6148
SPFB.Si,5,20221229,094500,72529.0000000,72529.0000000,72431.0000000,72489.0000000,4261
SPFB.Si,5,20221229,095000,72489.0000000,72500.0000000,72233.0000000,72355.0000000,12905
SPFB.Si,5,20221229,095500,72355.0000000,72490.0000000,72355.0000000,72437.0000000,5025
SPFB.Si,5,20221229,100000,72437.0000000,72486.0000000,72352.0000000,72371.0000000,4482
SPFB.Si,5,20221229,100500,72383.0000000,72389.0000000,72053.0000000,72077.0000000,22319
SPFB.Si,5,20221229,101000,72080.0000000,72478.0000000,72060.0000000,72463.0000000,22463
SPFB.Si,5,20221229,101500,72467.0000000,72725.0000000,72366.0000000,72631.0000000,30464
SPFB.Si,5,20221229,102000,72634.0000000,72680.0000000,72427.0000000,72488.0000000,18119
SPFB.Si,5,20221229,102500,72487.0000000,72555.0000000,72380.0000000,72503.0000000,13598
SPFB.Si,5,20221229,103000,72506.0000000,72529.0000000,72182.0000000,72269.0000000,25304
SPFB.Si,5,20221229,103500,72264.0000000,72267.0000000,71676.0000000,71768.0000000,57997
SPFB.Si,5,20221229,104000,71768.0000000,71796.0000000,71486.0000000,71588.0000000,46099
SPFB.Si,5,20221229,104500,71588.0000000,71588.0000000,71352.0000000,71555.0000000,47728
SPFB.Si,5,20221229,105000,71551.0000000,71645.0000000,71315.0000000,71614.0000000,44680
SPFB.Si,5,20221229,105500,71610.0000000,71871.0000000,71565.0000000,71767.0000000,27301
SPFB.Si,5,20221229,110000,71767.0000000,71830.0000000,71611.0000000,71800.0000000,26804
SPFB.Si,5,20221229,110500,71796.0000000,71838.0000000,71263.0000000,71414.0000000,41163
SPFB.Si,5,20221229,111000,71414.0000000,71450.0000000,70931.0000000,70980.0000000,58677
SPFB.Si,5,20221229,111500,70980.0000000,71045.0000000,70752.0000000,71036.0000000,35222
SPFB.Si,5,20221229,112000,71033.0000000,71046.0000000,70864.0000000,70886.0000000,22751
SPFB.Si,5,20221229,112500,70888.0000000,71180.0000000,70777.0000000,71176.0000000,36182
SPFB.Si,5,20221229,113000,71178.0000000,71222.0000000,70933.0000000,70996.0000000,19354
SPFB.Si,5,20221229,113500,70991.0000000,71088.0000000,70861.0000000,71040.0000000,20847
SPFB.Si,5,20221229,114000,71037.0000000,71383.0000000,71000.0000000,71337.0000000,28064
SPFB.Si,5,20221229,114500,71341.0000000,71424.0000000,71105.0000000,71380.0000000,22667
SPFB.Si,5,20221229,115000,71386.0000000,71475.0000000,71306.0000000,71339.0000000,22624
SPFB.Si,5,20221229,115500,71339.0000000,71569.0000000,71221.0000000,71405.0000000,27255
SPFB.Si,5,20221229,120000,71406.0000000,71530.0000000,71376.0000000,71408.0000000,13549
SPFB.Si,5,20221229,120500,71407.0000000,71497.0000000,71267.0000000,71380.0000000,16017
SPFB.Si,5,20221229,121000,71387.0000000,71653.0000000,71375.0000000,71455.0000000,22183
SPFB.Si,5,20221229,121500,71456.0000000,71644.0000000,71363.0000000,71572.0000000,18978
SPFB.Si,5,20221229,122000,71574.0000000,71685.0000000,71450.0000000,71516.0000000,15187
SPFB.Si,5,20221229,122500,71522.0000000,71579.0000000,71103.0000000,71113.0000000,25866
SPFB.Si,5,20221229,123000,71111.0000000,71136.0000000,70700.0000000,70719.0000000,39884
SPFB.Si,5,20221229,123500,70728.0000000,70999.0000000,70655.0000000,70708.0000000,45969
SPFB.Si,5,20221229,124000,70709.0000000,71128.0000000,70570.0000000,71049.0000000,32460
SPFB.Si,5,20221229,124500,71051.0000000,71127.0000000,70906.0000000,71057.0000000,18357
SPFB.Si,5,20221229,125000,71051.0000000,71091.0000000,70857.0000000,71025.0000000,15680
SPFB.Si,5,20221229,125500,71024.0000000,71027.0000000,70814.0000000,70882.0000000,12236
SPFB.Si,5,20221229,130000,70888.0000000,71139.0000000,70877.0000000,71117.0000000,16620
SPFB.Si,5,20221229,130500,71115.0000000,71215.0000000,71052.0000000,71195.0000000,15108
SPFB.Si,5,20221229,131000,71180.0000000,71216.0000000,71113.0000000,71203.0000000,7134
SPFB.Si,5,20221229,131500,71200.0000000,71269.0000000,71041.0000000,71084.0000000,11785
SPFB.Si,5,20221229,132000,71075.0000000,71235.0000000,71046.0000000,71223.0000000,7856
SPFB.Si,5,20221229,132500,71222.0000000,71430.0000000,71220.0000000,71411.0000000,14573
SPFB.Si,5,20221229,133000,71411.0000000,71779.0000000,71330.0000000,71562.0000000,28377
SPFB.Si,5,20221229,133500,71562.0000000,71850.0000000,71555.0000000,71769.0000000,25603
SPFB.Si,5,20221229,134000,71759.0000000,71794.0000000,71546.0000000,71579.0000000,17655
